rank,zip_code,City,investment_score,renter_pct,vacancy_rate,multifamily_share,median_contract_rent,median_household_income,rent_to_income_ratio,rent_burden_rate,price_latest,price_chg_1yr_pct,price_chg_3yr_pct,price_cut_rate,inv_chg_6m_pct,core_service_area,str_status,str_notes,mello_roos_signal,wildfire_notes
1,92661,Newport Beach,70.63953488372093,0.6229508196721312,0.6206088992974239,0.2106213872832369,2317.0,197344.0,0.1408910329171396,0.1156015037593985,4618791.845673897,12.737377006232652,26.239401605706327,0.0714285714285714,75.0,True,Permitted (cap),Max 1550 active permits; waitlist when cap reached,Low,Low-Moderate (Newport Coast/Crystal Cove foothill edge)
2,90621,Buena Park,70.2906976744186,0.6338597135512303,0.031491002570694,0.4061415220293725,1793.0,88735.0,0.2424747844706147,0.2492757821552723,898406.6908561398,0.6595584015674616,12.619384689864876,0.1020408163265306,63.33333333333333,False,,,,
3,92701,Santa Ana,69.65116279069767,0.6935876304842634,0.0271564241425319,0.4062046305494001,1471.0,65375.0,0.2700114722753346,0.2771302478216589,700962.477322417,2.228726597558861,18.941473340762304,0.1864406779661017,1.724137931034475,False,,,,
4,92627,Costa Mesa,65.63953488372091,0.6231903485254692,0.0428954423592493,0.3307626392459297,2064.0,105647.0,0.234441110490596,0.205348820534882,1392449.099748052,6.307103618651078,22.601583685587112,0.2886597938144329,56.4516129032258,True,Banned,Listed among OC cities prohibiting STR,Low,Low
5,92707,Santa Ana,65.61046511627907,0.498079931730906,0.0347745697624804,0.2577142464435434,1920.0,94862.0,0.2428791296831186,0.2037407195888064,834697.4650038132,1.8039897938301852,16.79911035077628,0.1836734693877551,0.0,False,,,,
6,90720,Los Alamitos,64.12790697674419,0.3535575048732943,0.0289961013645224,0.2113426474070566,2211.0,131660.0,0.201519064256418,0.2636113025499655,1580418.0551812155,2.1230254012908345,16.094507848310325,0.1666666666666666,7.14285714285714,False,,,,
7,92706,Santa Ana,63.895348837209305,0.4729014871743687,0.0256512626010579,0.2281043207473725,1617.0,90617.0,0.214132006135714,0.2870409455466441,1043888.220625665,1.4902876761371475,16.11785785609545,0.1578947368421052,26.66666666666666,False,,,,
8,92843,Garden Grove,63.43023255813954,0.5154023380834543,0.0332792900418124,0.294904616401024,1734.0,82147.0,0.2533020073770192,0.2735099337748344,981611.0701427428,3.0199443445970253,21.2208815944954,0.2,-3.8461538461538436,False,,,,
9,92866,Orange,63.343023255813954,0.6631731116732924,0.0684857246114925,0.3759512937595129,1740.0,83179.0,0.2510248981113021,0.2095367847411444,1135016.6764201028,2.0088660524628654,19.089110274375564,,,False,,,,
10,92648,Huntington Beach,63.08139534883721,0.5317508012820513,0.0846354166666666,0.3254686489980607,2120.0,116189.0,0.2189536014596906,0.2515539649651535,1554800.9996063188,4.605029177583231,17.796732402724878,0.2109375,5.785123966942152,True,Permitted (restricted),Owner-occupied allowed in Zones 1-2; unhosted only in Sunset Beach,Low,Low
11,92840,Garden Grove,62.29651162790698,0.4464331537079805,0.0431100846805234,0.2041820418204182,1759.0,90983.0,0.2319993845004011,0.2580830579106193,989527.793892682,2.809038824969834,20.27395548710342,0.0930232558139534,-12.244897959183676,False,,,,
