survey_date,state_fips,county_fips,region_code,division_code,county_name,bldgs_1unit,units_1unit,value_1unit,bldgs_2unit,units_2unit,value_2unit,bldgs_3to4unit,units_3to4unit,value_3to4unit,bldgs_5plusunit,units_5plusunit,value_5plusunit,bldgs_1unit_rep,units_1unit_rep,value_1unit_rep,bldgs_2unit_rep,units_2unit_rep,value_2unit_rep,bldgs_3to4unit_rep,units_3to4unit_rep,value_3to4unit_rep,bldgs_5plusunit_rep,units_5plusunit_rep,value_5plusunit_rep,units_total,units_multifamily,date
202007,06,059,4,9,Orange County                 ,282,282,91428723,3,6,1547772,9,29,8148081,10,146,27372482,230,230,65861751,1,2,214415,8,26,7486513,6,46,10750671,463,175,2020-07-01
202008,06,059,4,9,Orange County                 ,262,262,77382936,7,14,3461207,5,15,3799492,10,92,15159256,218,218,55247949,4,8,1461171,5,15,3799492,7,49,8019018,383,107,2020-08-01
202009,06,059,4,9,Orange County                 ,253,253,76160928,13,26,6430657,4,16,3537227,5,126,19462512,237,237,63214130,11,22,5097300,4,16,3537227,4,109,15385412,421,142,2020-09-01
202010,06,059,4,9,Orange County                 ,307,307,93557979,12,24,7843613,10,34,7787921,8,148,24093326,257,257,68883066,9,18,5843577,9,31,7126353,4,35,7200018,513,182,2020-10-01
202011,06,059,4,9,Orange County                 ,332,332,93999956,4,8,2428866,3,9,2646736,16,405,75535018,300,300,76132770,1,2,428830,2,6,1985168,13,315,62293219,754,414,2020-11-01
202012,06,059,4,9,Orange County                 ,218,218,63725252,5,10,2199164,3,9,3001072,7,495,73774305,173,173,42575875,3,6,865807,3,9,3001072,5,393,54672828,732,504,2020-12-01
202101,06,059,4,9,Orange County                 ,230,230,67549816,8,16,3744717,8,29,4497018,21,746,138775826,193,193,46841673,5,10,2076932,7,26,3835450,20,720,132540262,1021,775,2021-01-01
202102,06,059,4,9,Orange County                 ,281,281,78235765,9,18,5434658,7,21,5937495,13,549,102160340,228,228,54595259,6,12,3766873,7,21,5937495,10,476,90449108,869,570,2021-02-01
202103,06,059,4,9,Orange County                 ,431,431,132794652,14,28,7930685,3,12,2459616,29,1140,253667139,356,356,98980077,11,22,5930649,3,12,2459616,27,1107,246339749,1611,1152,2021-03-01
202104,06,059,4,9,Orange County                 ,299,299,85456108,10,20,4820139,5,18,4343843,18,158,33541397,236,236,57902780,8,16,3486782,5,18,4343843,17,150,32265698,495,176,2021-04-01
202105,06,059,4,9,Orange County                                               ,294,294,87087989,11,22,7024936,5,17,3680292,21,147,25177652,211,211,55473831,8,16,5024900,4,14,3160651,21,147,25177652,480,164,2021-05-01
202106,06,059,4,9,Orange County                                               ,257,257,76482427,16,32,9303325,4,13,3537708,1,20,3708572,164,164,41152128,13,26,7303289,4,13,3537708,0,0,0,322,33,2021-06-01
202107,06,059,4,9,Orange County                                               ,296,296,81078774,9,18,5647184,12,44,9509438,19,461,77471933,193,193,48912527,6,12,3647148,11,41,8989797,18,361,57610999,819,505,2021-07-01
202108,06,059,4,9,Orange County                                               ,235,235,69359599,2,4,1333357,7,28,6047590,7,138,27457629,132,132,36872778,0,0,0,7,28,6047590,6,34,6802258,405,166,2021-08-01
202109,06,059,4,9,Orange County                                               ,293,293,90964167,3,6,2000036,12,38,9794783,5,258,69490421,234,234,67873040,0,0,0,11,35,9275142,3,158,49893102,595,296,2021-09-01
202110,06,059,4,9,Orange County                                               ,450,450,127477274,3,6,2000036,6,22,5179166,11,102,19711292,411,411,109556843,0,0,0,6,22,5179166,9,72,14111835,580,124,2021-10-01
202111,06,059,4,9,Orange County                                               ,230,230,63252572,3,6,2000036,3,11,2358130,6,362,77220667,159,159,35782841,0,0,0,3,11,2358130,5,357,76256925,609,373,2021-11-01
202112,06,059,4,9,Orange County                                               ,193,193,55442682,2,4,1333357,5,17,3663542,6,416,73135498,131,131,34949340,0,0,0,4,14,3143901,5,382,68153475,630,433,2021-12-01
202201,06,059,4,9,Orange County                                               ,217,217,61846732,3,6,1845357,1,3,672241,4,59,11181534,116,116,29124833,0,0,0,0,0,0,1,22,5372436,285,62,2022-01-01
202202,06,059,4,9,Orange County                                               ,293,293,86832538,6,12,3506000,1,3,807002,14,138,20278130,228,228,64476785,3,6,1505964,1,3,807002,14,138,20278130,446,141,2022-02-01
202203,06,059,4,9,Orange County                                               ,367,367,113027699,9,18,5238875,14,44,10138428,7,132,29233495,316,316,90087099,7,14,3905518,14,44,10138428,7,132,29233495,561,176,2022-03-01
202204,06,059,4,9,Orange County                                               ,308,308,69372618,20,40,13285619,2,7,1856532,5,45,7792485,234,234,41635365,17,34,11285583,1,4,1242046,3,16,3813677,400,52,2022-04-01
